,webUrl,website,review_Tags,address,description,name,numberOfReviews,tour_Offers,rankingString,rankingDenominator,rating,rawRanking,subtype/0,image
631,https://www.tripadvisor.com/Attraction_Review-g189400-d12429012-Reviews-Withlocals-Athens_Attica.html,http://www.withlocals.com/locations/greece/athens/tripadvisor/,"tour, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",Athens Greece,Private & personalized things to-do in Athens. From discovering hidden gems to visiting the highlights with a local. Withlocals offers 100% unique experiences in Athens.,Withlocals,1648,"Explore the Acropolis & Museum Private Tour with a Local Guide, Cape Sounio and Temple of Poseidon Private Day Trip with Private Local Guide , Athens Off the Beaten Track Private City Walking Tour, The History of Athens: Greek Mythology Private Tour, Private City Kickstart Tour: Athens","#108 of 1,148 Tours in Athens",1148,5,4.35833168,Historical & Heritage Tours,https://media-cdn.tripadvisor.com/media/photo-o/0f/3f/ca/dd/getlstd-property-photo.jpg
633,https://www.tripadvisor.com/Attraction_Review-g189400-d2165694-Reviews-Athens_Tours_Greece-Athens_Attica.html,http://www.athenstourgreece.com/,"corinth canal, day trip, excellent tour, great driver, delphi, company, cruise, greece, sights, acropolis, port, george, battle, greek, insight, ruins, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",Athens Greece,Athens Tours Greece invites you to browse our Athens tours and Greece tours. Book one of our private tours in Athens and other cities in Greece. If you're arriving on a cruise ship enjoy our shore excursions in Athens (Piraeus) or Greece and if you are in Athens for a day or few days we have organized for you exciting sightseeing tours! Athens Tours Greece team is ready to assist you in any of your needs! Join us today and remember... Don't just visit Greece... Experience it!,Athens Tours Greece,643,"The Golden Age of Athens 6h private shore excursion with the Acropolis Museum, The Highlights of Athens Private Shore Excursion 8 Hours, The Best of Athens 8 hours Day Private tour, Embark | Disembark The Highlights Of Athens - 4 H Private Shore Excursion, The original Christian tour on Paul's footsteps in Athens and ancient Corinth","#124 of 1,148 Tours in Athens",1148,5,4.288639545,Archaeology Tours,https://media-cdn.tripadvisor.com/media/photo-o/0d/1c/1e/7c/amazing-architecture.jpg
635,https://www.tripadvisor.com/Attraction_Review-g189400-d17435545-Reviews-Greekality-Athens_Attica.html,https://www.greekality.com,"tour, guide, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Theagenous 11, Athens, Athens 11634 Greece","We love designing for you meaning food & wine experiences 
to make the most of your travels.
Learn about Greece's culinary culture.
Connect with local Athenians.
Experience Greek hospitality.
Celebrate authentic gastronomy.
Support local businesses.
Enjoy fun moments.
And create memories that last forever.
",Greekality,340,"Athens Greek Food Tour , Athens Street Food Walk , Athens Night Walk with Wines Cocktails and Spirits, Greek cooking at a chef's restaurant, nan",#9 of 265 Food & Drink in Athens,265,5,4.432819843,Food Tours,https://media-cdn.tripadvisor.com/media/photo-m/1280/17/74/22/b6/caption.jpg
636,https://www.tripadvisor.com/Attraction_Review-g189400-d7733818-Reviews-Taxi_Transfer_Athens-Athens_Attica.html,http://www.taxitransferathens.gr,"always on time, reliable service, mr manolis, rafina port, waited patiently, friendly driver, flight was delayed, great driver, bottle of water, safe driver, company, cars, vehicle, greece, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",Athens Greece,"We provide affordable and easy booking services for airport transfers, private hire by the hour in Athens. Our goal is to provide safe and on time first-class chauffeured transportation that will exceed our clients expectations. Airport transportation is our specialty! Our airport taxi transfers start at €46.90 where we will take you from the Athens International Airport (AIA) (Eleftherios Venizelos) to the centre of Athens. For taxi transfers from the Athens International Airport (AIA) (Eleftherios Venizelos) to the port of Piraeus we can offer you our fixed rate of €65.00 , With just a few clicks you can book your routes with safety. Friendly driver will be waiting for your transport.",Taxi Transfer Athens,325,"Athens Half Day Shore Excursion Private Tour, Athenian Riviera,Cape Sounion & Temple of Poseidon Half day Shore Excursion Tour, Athens Full Day Shore Excursion Private Tour, Athens & Temple of Poseidon Full Day Shore Excursion Private Tour, nan",#24 of 639 Transportation in Athens,639,5,4.403916359,Taxis & Shuttles,https://media-cdn.tripadvisor.com/media/photo-o/12/9d/5e/36/the-majestic-temple-of.jpg
638,https://www.tripadvisor.com/Attraction_Review-g189400-d5963734-Reviews-Dorcas_Travel_Ltd-Athens_Attica.html,http://vacationgreece.eu/,"customized trip, day trip, perfect trip, planning process, private catamaran, local phone, wonderful itinerary, every step of the way, wonderful trip to greece, dream vacation, strata tours, travel style, visiting santorini, samaria gorge, greek vacation, winery tour, engaging personality, high winds, highest point in athens, cooking class, custom tour, mainland greece, excellent communication, restaurant recommendations, knowledgeable guides, driving tour, once in a lifetime, greek islands, acropolis parthenon, wealth of knowledge","44, Nikis street Ground floor, Athens 10558 Greece","Dorcas Travel operates high-quality private personalized vacation packages and activities, in Athens, Santorini, Mykonos, Crete other major islands and also Greek mainland. Our Travel consultants will work with you closely to organize the trip of your dreams.",Dorcas Travel Ltd,245,"nan, nan, nan, nan, nan","#28 of 1,148 Tours in Athens",1148,5,4.440363407,Private Tours,https://media-cdn.tripadvisor.com/media/photo-s/05/04/2b/19/getlstd-property-photo.jpg
640,https://www.tripadvisor.com/Attraction_Review-g189400-d6467727-Reviews-Solebike-Athens_Attica.html,http://www.solebike.eu,"electric bikes, e bikes, bike tour, regular bike, great tour, bikes worked, viking cruise, city highlights, great overview, highly recommend this tour, history come alive, traditional greek, starting point, knowledgeable guide, booked this tour, historic sites, hour tour, small group, wealth of knowledge, take photos, national gardens, central athens, souvlaki, athens tour, ancient agora, headsets, route, pedaling, riders, novice","Lempesi 11 By the Acropolis Museum, Athens 117 42 Greece","At solebike you will explore Athens in a whole new way with our guided eBike tours! Dive in the rich history and vibrant culture of the city while effortlessly cruising on our modern eBikes. Our expert guides will lead you through iconic landmarks, hidden gems and charming neighbourhoods, providing insightful commentary along the way. Immerse yourself in the beauty of Athens without the hassle of conventional biking. Our guided tours cater to both beginners and experienced cyclists, ensuring a memorable and enjoyable experience for all. Let the electric power assist you in conquering hills and exploring the city with ease. Whether you're a history enthusiast or someone looking for a thrilling outdoor activity, our e-bike tours offer an unforgettable experience. Join us for a leisurely ride through the ancient streets of Athens, discover its fascinating stories and enjoy the charm of the city on two wheels with us!",Solebike,476,"Electric Bike discover of Old and New Athens with Street Food , nan, nan, nan, nan",#19 of 382 Outdoor Activities in Athens,382,5,4.36550951,City Tours,https://media-cdn.tripadvisor.com/media/photo-o/25/6d/c2/32/solebike-ebike-tour-in.jpg
684,https://www.tripadvisor.com/Attraction_Review-g189400-d3239740-Reviews-Athens_Limo_Tours-Athens_Attica.html,http://www.athens-limo.com,"driver michael, private tour, full day tour, cruise ship, day trip, great tour, acropolis tour, airport transfer, ancient corinth, tour company, vehicle, greece, sites, luggage, george, itinerary, mercedes, poseidon, greek, olympia, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",Athens 11742 Greece,"Athens Limo is a private tour and transportation company based in Athens, that offers highly customizable private tours, walking tours, historic and heritage tours, sightseeing tours and transfers. Our concept of affordable luxury consists in combining our fleet of luxury vehicles with personalized services catered to your every need. Our team consists of experienced and multilingual drivers and professional licensed tour guides with archaeological background studies. Book with us and gain the ultimate travel experience in Greece.",Athens Limo Tours,1077,"Private Half Day Athens Tour, Private Day Trip To Delphi, Athens Best and Ancient Corinth Private Full Day, Private Full Day Athens Tour, Athens Best and Cape Sounion Private Full Day",#2 of 639 Transportation in Athens,639,5,4.480542183,Sightseeing Tours,https://media-cdn.tripadvisor.com/media/photo-m/1280/1c/c5/68/64/athenian-riviera.jpg
685,https://www.tripadvisor.com/Attraction_Review-g189400-d2173384-Reviews-JG_Athens_Tours-Athens_Attica.html,http://www.athens-taxi.net,"day tour, private tour, always on time, athens tour, airport, driver, company, sites, greece, sounion, george, corinth, mercedes, piraeus, olympia, epidaurus, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",Athens 104 35 Greece,"We offer Athens private sightseeing tours, Athens (Piraeus) private shore excursions, Full Day & Multi Days Tours all over Greece mainland (i.e. Ancient Corinthos, Mycenae, Nafplio, Mystras, Ancient Olympia, Delphi, Meteora Monasteries, etc), transfers from/to all major airport and seaports, business transporation. All of our activities are private ones. All tours' itineraries are flexible in accordance to client's needs. Our fleet consist of new Mercedes Benz cars (4 seater sedan, Mini Van, Mini Bus). Our drivers are all professionals english speaking.",JG Athens Tours,1066,"Delphi and Hosios Loukas Monastery Full Day Private Tour, Athens - Private Half Day Tour, Athens Sights & Sounion (Poseidon Temple) - Private Full Day Tour, Private Transfer from Varkiza or Vouliagmeni or Glyfada to Athens Airport (ATH) , Private Transfer from Athens International Airport (ATH) to Piraeus Port",#9 of 639 Transportation in Athens,639,5,4.440133095,Private Tours,https://media-cdn.tripadvisor.com/media/photo-o/10/af/46/79/delphi-sanctuary-of-athena.jpg
689,https://www.tripadvisor.com/Attraction_Review-g189400-d6999086-Reviews-Sights_of_Athens-Athens_Attica.html,http://www.sightsofathens.gr/,"hop on hop, blue bus, athena pronaia, top deck, your bearings, audio guide, bus tour, awesome tour, the national archaeological museum, own pace, private tour, piraeus, port, driver, tholos, sunio, euro, acropolis, george, insight, greece, greek, nan, nan, nan, nan, nan, nan, nan, nan","81 Akti Miaouli, Athens 185 38 Greece","At the Peiraeus Cruise Ship Terminals, the Blue Sightseeing Buses are waiting for you to hop on and discover Athens & Peiraus best attractions. Take advantage of our amazing sightseeing tour and visit the most important highlights. Enjoy an unforgettable tour by visiting historical places and monuments, such as the Temple of Zeus, the House of Parliament, the Parthenon, Plaka Area ,the Acropolis museum and much more!",Sights of Athens,1318,"Hop on Hop Off Classic tour of Athens, Athens Combo: Hop-on Hop-off Bus & Cape Sounion Sunset Tour, Hop on Hop Off Nafplio city tour, From Athens: Corinth Canal and Mycenae private tour, From Athens: Mycenae and Epidaurus private tour","#149 of 1,148 Tours in Athens",1148,4,4.022027969,Hop-On Hop-Off Tours,https://media-cdn.tripadvisor.com/media/photo-o/06/98/49/ef/sights-of-athens-sightseeing.jpg
694,https://www.tripadvisor.com/Attraction_Review-g189400-d16713235-Reviews-GREECE_TAXI-Athens_Attica.html,http://www.greecetaxi.gr,"day tour, private tour, fabulous tour, christos, driver, messini, sites, greece, nemea, mycenae, greek, nafplio, fortress, geography, mount, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Ethnikis Antistaseos, Athens 17343 Greece","We visit, travel Greece as travelers, not as tourists and see the other Greece. Whether you are looking to go on a week-long tour or just a daily private tour (Athens,Sounion, Corinth, Delphi, Sparta, Olympia) we have the best offers. Whether you’re looking for a historical, archaeological, biblical, beach break or theme park excursion, we can help you put together a vacation you’ll never forget.",GREECE TAXI,317,"Athens by Night private tour /5 hours (with live music & Folklore dance), Kalavryta CogTrain Anci.Corinth Private Tour from Athens/Nafplio , Apostle Paul Steps private tour (Athens, Kechries, Corinth & Canal) 10 hours , Marathon, Thermopylae/ Herodotus History private tour (9 hours), 3 Days private tour- Meteora Rocks & Monasteries, Delphi/ Apollo Oracle, Thebes ",#21 of 382 Outdoor Activities in Athens,382,5,4.345499992,Multi-day Tours,https://media-cdn.tripadvisor.com/media/photo-o/0f/7e/a5/c1/presidential-guards-in.jpg
695,https://www.tripadvisor.com/Attraction_Review-g189400-d11884729-Reviews-Be_a_Greek-Athens_Attica.html,http://www.beagreek.com/,"treasure hunt, four hours, walking tour, great tour, acropolis museum, private tour, effie, philosophy, plato, myths, philosopher, clues, tailor, greek, knowledge, depth, tours, greece, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",Athens 11633 Greece,Explore the core of Greece and walk its secret paths accompanied by an Athenian. Enjoy a 4 hour private walking tour through the longest pedestrian archaeological park in Europe. Discover the hidden treasures of modern Athens and wander amongst some of the most important landmarks that have influenced Western civilization.,Be a Greek,198,"Greek Mythology Treasure Hunt for Kids - Athens Private Tour, Ancient Athens for Kids 4-Hour Private Walking Tour, Athens Private Wine Tasting Tour - Dionysian Grapes, Athens Street Art - Private Walking Tour, Athens Heart Private Walking Tour",#22 of 265 Food & Drink in Athens,265,5,4.389839172,Day Trips,https://media-cdn.tripadvisor.com/media/photo-o/0e/3a/94/14/be-a-greek-experience.jpg
696,https://www.tripadvisor.com/Attraction_Review-g189400-d12433441-Reviews-Eudaimonia_Private_Tours-Athens_Attica.html,http://www.eudaimonia.gr,"day tour, peloponnese, niko, greece, sites, tavernas, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Koilas Koilada Kranidiou, Athens 105 63 Greece","EUDAIMONIA Private Tours of Greece specializes in unique, authentic, off-the-beaten track experiences to the hidden corners of Greece, without missing out on the well known destinations. Here at Eudaimonia Private Tours, we offer authentic local experiences, operated mostly by the owners and reflecting the owners’ personality and insider knowledge. We operate totally PRIVATE tours for 1-8 related only persons such as a large family, couples or group of friends. Our specialization is unique, authentic, off-the-beaten track experiences to the hidden corners of Greece, even when visiting the well known sites. Food is a major part our experiences and is included in all our tours at very special locations. Research & read about us! Talk to us!",Eudaimonia Private Tours,246,"Corinth, Cave of Lakes, Odontotos Railway Private Tour with Greek Lunch Included, Private Delphi and Hosios Loukas Monastery - Great Lunch and Drinks Included, Canal, Ancient Corinth & Nemea, Caves of Wonder, Great Lunch, Private Tour, 5-Day Best of Peloponnese Private Tour: Nafplio/Olympia/Mycenae/Epidaurus/more , Mystras Private Day Trip from Athens or Nafplio with Lunch","#86 of 1,148 Tours in Athens",1148,5,4.388960838,Private Tours,https://media-cdn.tripadvisor.com/media/photo-o/0f/74/39/15/hydra-island-cosmopolitan.jpg
697,https://www.tripadvisor.com/Attraction_Review-g189400-d16942579-Reviews-Navigare_Yachting-Athens_Attica.html,https://navigare-yachting.com/en/destinations/greece,"saronic islands, great sailing, charter company, week sailing, greek islands, captain jason, nice boat, amazing vacation, whole process, catamaran, boats, skiing, bays, cyclades, sailed, engine, greece, agios, chartering, kosmas, ports, sails, sailors, docking, tank, anchoring, route, shore, panos, george","Leof. Poseidonos Avenue 18 Agios Kosmas Marina, Athens 13667 Greece","Navigare Yachting delivers the sailing holiday of your dreams in Greece on a bareboat or skippered charter: with well-equipped yachts, superior maintenance, and top-notch customer care. Our fleet in Greece counts 43 monohulls and catamarans from Lagoon, Beneteau, Jeanneau, Fountaine Pajot, Nautitech and more. We look forward to welcoming you, so you too may experience the Navigare difference. ",Navigare Yachting,310,"nan, nan, nan, nan, nan",#11 of 191 Boat Tours & Water Sports in Athens,191,5,4.304524899,Boat Rentals,https://media-cdn.tripadvisor.com/media/photo-m/1280/29/68/c6/4b/caption.jpg
698,https://www.tripadvisor.com/Attraction_Review-g189400-d7132940-Reviews-Nectar_Ambrosia_Guided_Tours_In_Athens-Athens_Attica.html,http://athens-taxi-french-italian-speaker.blogspot.com/,"tour guide, airport, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",Athens Greece,"services des tours et des visites guidees fourniees en francais et italiens,
tour d'athenes en taxi et visites guidees, excursions et visites guidees a canal de corinthe, ancienne corinthe, acrocorinthe, epidaure, mycenes, sounion, delphes, full day a argolide, corinthie, delphes, half day a sounio
servizi di tour e visite guidate in italiano e francese
giro di atene e visite guidate, tour di atene e visite guidate, escursioni a antica corinto, canale di corinto, acrocorinto,  escursioni a micene, epidauro, delfi, sounio.
full day escursioni ad argolide, corinzia, half day a sounio  
transfers from the airport of athens and the ports of Piraeus, rafina and Lavrion to the destinations of your preference in and out of Athens in addition, you Can Recruit Your Taxi Driver booking per hour for your different rides you wish in and out of athens.",Nectar & Ambrosia Guided Tours In Athens,220,"nan, nan, nan, nan, nan",#13 of 639 Transportation in Athens,639,5,4.418244362,Day Trips,https://media-cdn.tripadvisor.com/media/photo-m/1280/28/f8/04/a5/nektar-ambrosia-guided.jpg
700,https://www.tripadvisor.com/Attraction_Review-g189400-d7736757-Reviews-Skydive_Athens-Athens_Attica.html,http://www.skydive-athens.gr,"free fall, drop zone, tandem instructor, once in a lifetime, video, adrenaline, anastasis, crew, safety, fears, freedom, jumps, instructions, yannis, camera, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Kopaida Airfield, Athens 322 00 Greece","Skydive-Athens is the only skydiving centre in Greece which operates all year round flying a turbine aircraft to 14000ft (4200m) in only 15 minutes. The nice setup and ambient facilities provides a relaxed but professional environment and invites you to spend many hours and days with us. We like to compare our drop zone with other Europe skydiving centres and we can proudly say that we meet and sometimes even exceed the European standards. “The Experience of a lifetime” Doing a tandem jump is the easiest way to feel the thrill of skydiving. After a thorough ground preparation you will be ready to...take off! With our expert instructors, you will jump out of a plane from 14.000 ft. Come enjoy an incredible free fall over the beautiful Mountains and Seas of Greece. It is sure to be one of the most memorable experiences of your life. You definitely want to have your skydive filmed, so make sure you ask for video and photos when you book your tandem. After your jump, you will be able to share your experience with friends and family back home! If you are looking for the ultimate heart-pounding thrill ride, you need to book this amazing Skydive Athens experience! Come to Skydive Athens and Enjoy! 15 minutes of scenic flight with our 18 seated plane 1 minute of free fall reaching speeds up to 220km/h 5-6 minutes of smooth parachute flight No experience required All equipment provided, just bring comfortable clothing and sneakers. No age limit, everybody is welcome!* The whole experience takes about 2 hours to complete Want to bring a support crew? Our viewing area is perfectly positioned so your friends and family can watch you land!",Skydive Athens,312,"nan, nan, nan, nan, nan",#22 of 382 Outdoor Activities in Athens,382,5,4.329465866,Skydiving,https://media-cdn.tripadvisor.com/media/photo-o/0d/ff/81/26/playing-with-the-cameraman.jpg
701,https://www.tripadvisor.com/Attraction_Review-g189400-d7856183-Reviews-ATS_Athens_Taxi_Services-Athens_Attica.html,http://www.athenstaxiservices.com/?utm_source=tripadvisor&utm_medium=tripadvisor,"excellent taxi service, hermes, nikos, cars, airport, transfer, driver, company, luggage, greece, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Agias Barabaras 112b, Athens 175 63 Greece","Athens Taxi Services is proud to offer transfers and taxi tours throughout Athens and its surrounding areas. Our modest fleet consists of brand new Mercedes taxis and mini vans for groups of up to 8 people. All our vehicles come with air conditioning, free onboard WiFi, device chargers, suit hangers and child seats (upon request). We look forward to welcoming you to Athens soon!",ATS - Athens Taxi Services,434,"nan, nan, nan, nan, nan",#32 of 639 Transportation in Athens,639,5,4.385344982,Taxis & Shuttles,https://media-cdn.tripadvisor.com/media/photo-m/1280/19/51/60/80/ats-athens-taxi-services.jpg
702,https://www.tripadvisor.com/Attraction_Review-g189400-d2020955-Reviews-Chat_Tours-Athens_Attica.html,http://www.chatours.gr/,"day tour, great tour, acropolis museum, effie, guide, hydra, depth, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","9, XENOFONDOS STR, 4th Floor, Athens 105 57 Greece","Established in 1953 and part of a very large and distinguished family - CHAT TOURS operates regularly scheduled motorcoach sightseeing tours from its home base in Athens. Considered the sightseeing authority of Greece, with a wide range of half-day, full day and multi day tours. CHAT TOURS initiated the very first organised escorted coach tours throughout Greece. The same pioneering principles, which resulted in our becoming the foremost name in Greek sightseeing, have led us through to the present day where CHAT TOURS is recognised worldwide as the leader in Greek sightseeing. With CHAT TOURS you will see the Greece most tourists never see. CHAT motorcoach company, takes you through the very heart of Greek civilization, from the famed antiquity of Olympia & Delphi to the recently discovered marvels of Northern Greece - Only CHAT can take you there with such comfort and expertise. Each CHAT professional multilingual guide is trained to give you not just a glimpse, but a unique persp",Chat Tours,1519,"Delphi English Day Trip from Athens, Hydra, Poros and Egina Day Cruise from Athens with Optional VIP Upgrade, Athens Half-Day Sightseeing Tour, 4-Day Classical Greece Tour: Epidaurus, Mycenae, Olympia, Delphi, Meteora, Mycenae and Epidaurus Day Trip from Athens","#160 of 1,148 Tours in Athens",1148,4,3.896921396,Day Trips,https://media-cdn.tripadvisor.com/media/photo-o/06/02/16/b3/chat-tours-day-tours.jpg
703,https://www.tripadvisor.com/Attraction_Review-g189400-d23684571-Reviews-George_Pap_Taxi_Trips_And_Transfers-Athens_Attica.html,https://george-pap-tours-and-transfers.business.site/,"day trip, cape sounion, lake vouliagmeni, tour guide, warm recommendation, speaks wonderful english, long steep walk, excellent driver, lovely trip, extensive knowledge, private trip, pre trip, authentic greek restaurant, mythological stories, prime minister, rafina port, unforgettable trip, detailed information, clean mercedes, greek isles, delphi meteora, corinth canal, beautiful country, poseidon temple, olympic stadium, full day tour, left athens, deep knowledge, greek history, touring athens",Athens Greece,"Join me on my private high-quality Sightseeing day trips in a modern Mercedes taxi. My trips are in English and your Journey can be from a half-day to a multi-day trip. I offer different kinds of trips: inside Athens main sites and shore excursions or out of Athens to : Cape Sounion Sunset trip, to the Peloponnese, and archeology day trips. Trips to Delphi and/or Meteora, Hosios Loukas Holy Monastery, Nafplion and Corinth , Monemvasia, Cave of Lakes, Kalavrita, Mycenae, Thermopylae, Argolis, Marathon, and much more. I also offer reliable Transfers to and from the airport, transfers to your Cruise ship, and of course the best Athens restaurants recommendations.",George Pap Taxi Trips And Transfers,187,"nan, nan, nan, nan, nan",#5 of 639 Transportation in Athens,639,5,4.466227531,Taxis & Shuttles,https://media-cdn.tripadvisor.com/media/photo-m/1280/20/a9/b1/0f/athens-sunset-hours.jpg
704,https://www.tripadvisor.com/Attraction_Review-g189400-d8378546-Reviews-CATTaxi-Athens_Attica.html,http://www.cattaxi.com.gr,"ancient corinth, private tour, day tour, visiting greece, athens airport, transfer, driver, company, tours, sites, information, nafplio, peloponnese, euros, luggage, mycenae, highlights, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",Athens 10444 Greece,"Visit Athens, Greece. And let us show you our city. Tours of Athens city, day tours from Athens. Transfers from and to airport, ports, bus stations, hotels. Our drivers are professional, polite, and friendly. They will be waiting for you and know exactly where to take you. Their first priority is your satisfaction and safety. All drivers will help you and give you tips, and most drivers will know a second foreign language. All drivers on tours know English. You are welcome to bother us for information, like nice places to go and good walks around the city. The cars are well maintained and clean. All of them have free wi-fi and some of them have 220 Volt outlets available. If needed, we can also provide: - baby chairs, a) up to the age of 1, and b) up to the age of 8 - wheelchairs - luggage scale - phone chargers If you wish to hire a professional tour-guide for an extra charge, we can point you to some of our partners.",CATTaxi,223,"To or From Agios Konstantinos Port, From Athens Intl. Airport to Athens centre, Ancient Corinth and Corinth Canal Private Tour from Athens, Private Half-Day Athens Highlights Tour, Sounio Cape",#21 of 639 Transportation in Athens,639,5,4.406414986,Archaeology Tours,https://media-cdn.tripadvisor.com/media/photo-o/0a/a4/05/52/acropolis.jpg
705,https://www.tripadvisor.com/Attraction_Review-g189400-d2218159-Reviews-Athens_Taxi_Tours_Michael_Sterianos-Athens_Attica.html,http://www.athenstaxitour.com/,"apostle paul, private tour, full day tour, mars hill, olympic stadium, wonderful tour, footsteps, corinth, sites, airport, greece, driver, knowledge, cruise, acropolis, poseidon, cape, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",Athens 16451 Greece,Private Tours All Over Greece Athens Private Tours Christian Tours Transportation All Over Greece Sedans -taxis - Vans - Mini Busses - Busses,Athens Taxi Tours - Michael Sterianos,627,"nan, nan, nan, nan, nan",#31 of 639 Transportation in Athens,639,5,4.390472889,Archaeology Tours,https://media-cdn.tripadvisor.com/media/photo-o/03/51/b9/9d/apollo-s-temple-corinth.jpg
706,https://www.tripadvisor.com/Attraction_Review-g189400-d13587489-Reviews-YachtHop-Athens_Attica.html,http://www.yachthop.gr,"crew members, day trip, sunset sail, beautiful boat, amazing trip, captain, catamaran, skiing, cruise, snorkeling, choppy, greece, rocks, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","Leof. Posidonos 1, Athens 17455 Greece","YachtHop provides a variety of set Itineraries which are available to both solo travellers or larger groups of friends. We offer a range of sailing experiences from daily cruises to a choice of multi-day trips around Greece’s best sailing spots. You are free to choose the number of days you want to spend on board! With a great passion for service & delivery, and the experience of operating yachts in Greece to some of the world’s leading travel brands & tour operators, we are dedicated in making your stay on-board with YachtHop, a truly unforgettable experience!",YachtHop,265,"Athens SemiPrivate Half day Morning cruise with sailing catamaran, Athens Private Half day cruise with a sailing catamaran, nan, nan, nan",#10 of 191 Boat Tours & Water Sports in Athens,191,5,4.36774826,Multi-day Tours,https://media-cdn.tripadvisor.com/media/photo-m/1280/15/b0/47/0c/yachthop-did-showcase.jpg
707,https://www.tripadvisor.com/Attraction_Review-g189400-d20053960-Reviews-DI_Transfers_Excursions_Cruise_in_Athens-Athens_Attica.html,http://Athenstransfer-cruise.gr,"cars, company, acropolis, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan",Athens Greece,,DI  Transfers Excursions & Cruise  in  Athens,292,"nan, nan, nan, nan, nan","#13 of 1,148 Tours in Athens",1148,5,4.473520279,City Tours,https://media-cdn.tripadvisor.com/media/photo-m/1280/21/c6/4f/94/di.jpg
708,https://www.tripadvisor.com/Attraction_Review-g189400-d23963140-Reviews-Toptoursgreece-Athens_Attica.html,http://www.toptoursgreece.com,"nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan","______ 15 17 17, Athens 15344 Greece","Visits exclusively in Spanish. Excursions to the Acropolis and emblematic points of Athens with an official guide. Group and private tours in Spanish. Get to know the Acropolis, museums, Delphi, Mycenae, ancient Agoras in the company of an expert guide in Spanish.",Toptoursgreece,315,"nan, nan, nan, nan, nan","#6 of 1,148 Tours in Athens",1148,5,4.491860867,Multi-day Tours,https://media-cdn.tripadvisor.com/media/photo-m/1280/22/af/a5/92/caption.jpg
709,https://www.tripadvisor.com/Attraction_Review-g189400-d7125001-Reviews-Prestige_Limousine_Service_Tours_and_Transfer_Services-Athens_Attica.html,http://www.prestigegreece.com,"professional service, driver michael, hotel grande bretagne, highly recommend their services, transfer from the airport, comfortable ride, long flight, great company, baggage claim, excellent driver, great communication, comfortable car, mercedes van, always on time, safe driver, these guys, cruise port, visit greece, greek history, marianna, vehicle, cars, makis, luggage, piraeus, arrivals, poseidon, ship, peloponnese, sites",Athens 10564 Greece,"Prestige Limousine Service has been in the luxury transportation business since 1990 and is fully licensed by the Hellenic Ministry of Tourism. We provide transfer services and private tours in Athens and around Greece with a fleet of Mercedes S-Class sedans and Viano mini-vans and a team of professional, English-speaking drivers. Do contact us and make your trip in Greece unforgettable!",Prestige Limousine Service - Tours and Transfer Services,248,"nan, nan, nan, nan, nan","#54 of 1,148 Tours in Athens",1148,5,4.415465832,Private Tours,https://media-cdn.tripadvisor.com/media/photo-o/06/b6/4c/b3/prestige-limousine-service.jpg
